Наименование товара;Артикул;Розничная цена;Остаток на складе
Переходник угловой для квадратной трубы 22х22 мм на диаметр  22 мм;4317;82.00;160
Бирка ушная MSTag Jumbo мама оранжевая;0402056ORA-100;34.00;143
Бирка ушная MSTag Jumbo папа оранжевая;0402055ORA-100;56.00;145
Бирка ушная MSTag Jumbo мама красная;0402056RED-100;34.00;118
Бирка ушная MSTag Jumbo папа красная;0402055RED-100;56.00;328
Бирка ушная MSTag Jumbo зел мама;0402056GRE-100;34.00;250
Бирка ушная MSTag Jumbo папа зеленая;0402055GRE-100;56.00;250
Бирка ушная MSTag Jumbo мама голубая;0402056BLU-100;34.00;41
Бирка ушная MSTag Jumbo папа голубая;0402055BLU-100;56.00;42
Бирка ушная MSTag Medium мама оранжевая;0402051ORA-100;25.00;448
Бирка ушная MSTag Medium папа оранжевая;0402050ORA-100;40.00;470
Бирка ушная MSTag Medium мама белая;0402051WHI-100;25.00;81
Бирка ушная MSTag Medium папа белая;0402050WHI-100;40.00;43
Бирка ушная MSTag Medium мама красная;0402051RED-100;25.00;210
Бирка ушная MSTag Medium папа красная;0402050RED-100;40.00;40
Бирка ушная MSTag Medium мама голубая;0402051BLU-100;25.00;26
Бирка ушная MSTag Medium папа голубая;0402050BLU-100;40.00;32
Бирка ушная MSTag Standard папа желтая;0409864YEL-100;26.00;100
Туалет Catidea 63х45х25 см, XL, с совком, коричневый;CL211-Rock;2010.00;90
Овоскоп ОН-10 настольный;ОН-10;1610.00;57
Ножницы Berger для стрижки овец одинарные 28 см;2711;2170.00;19
Ножницы Berger для стрижки овец двойные 28 см;2721;2360.00;19
Ножницы Berger для стрижки овец одинарные 30,5 см;2712;2400.00;18
Ножницы Berger для стрижки овец двойные 30,5 см;2722;2580.00;23
Ножницы Berger для стрижки овец одинарные 33 см;2713;2830.00;9
Камень Berger для заточки;5706;1030.00;11
Ножевая пара Heiniger для стрижки лошадей и КРС 53/23  0,1 мм;703-670;5930.00;3
Вeрхний нож Heiniger Jet для овец, 4,4 мм;714-010-A;729.00;46
Лампа инфракрасная Philips 175Вт Е27 красная;871150060053015;799.00;373
Кормушка бункерная 5 кг оцинкованная сталь;013/10C;1350.00;9
Туалет Catidea 63х45х25 см, XL, с совком, кремовый;CL211-Cream;2020.00;90
Туалет Catidea 46х36х15 см с совком, коричневый;CL213-Rock;1000.00;111
Миска двойная Catidea с автопоением, металл, голубая;CF301-Sky;1030.00;30
Щетка Catidea массажная с каплей, пластик, желтая;CG1-Yellow;635.00;9
Щетка Catidea массажная с каплей, пластик, голубая;CG1-Sky;652.00;9
Щетка Catidea массажная с каплей, пластик, розовая;CG1-L-Pink;652.00;9
Щетка Catidea, розовая;CG2-L-Pink;652.00;20
Расческа-грабли Catidea розовая;CG4-l-Pink;652.00;9
Щетка массажная для мытья кошек, розовая;CG5-L-Pink;652.00;17
Пуходерка Catidea с защитным рядом зубьев, розовая;CG6-L-Pink;652.00;7
Расческа Catidea с зубьями разной длины, розовая;CG7-L-Pink;652.00;7
Расческа Catidea мини, розовая;CG13-Pink;624.00;4
Шампунь-кондиционер Catidea увлажняющий 200 мл, липовый цвет и белый ирис;CC2-Pink;341.00;56
Испаряющий элемент Brinsea для Ova-Easy 580 3 шт.;14_998;5490.00;4
Испаряющий элемент Brinsea для Ova-Easy 100 и Hatcher 3 шт.;14_997;2300.00;13
Нож для зернодробилки ИЗ-05;IZN-1;98.00;24
