Наименование товара;Артикул;Розничная цена;Остаток на складе
Шланг диаметр  9х12 мм, жесткий, 1 м;526/00;85.00;226
Универсальный лоток Rcom 50 ;H50-AH623-10;2630.00;5
Автопоилка фонтан W1 2,7 л для кошек и собак;W1;4330.00;97
Помпа пластиковая для 5 л канистры;MPUMP;499.00;1
Измельчитель зерна Хрюша 350 кг/час;0016;4010.00;6
Измельчитель зерна ИЗ-05 170 кг/час;0013;4030.00;7
Измельчитель зерна ИЗ-05М 250 кг/час;0014;4280.00;9
Электрокоптильня ЭлектроМаш;00-00024203;2480.00;4
Электросушилка для овощей, грибов, ягод, фруктов, 4 поддона;0001;2000.00;4
Измельчитель зерна Greentechs 300 кг/час;0007;3940.00;25
Измельчитель зерна Greentechs 350 кг/час;0008;4010.00;11
Измельчитель зерна Greentechs 400 кг/час;0009;4450.00;3
Лебедка ручная настенная 1130 кг;NT-W2500;2930.00;29
Лебедка ручная потолочная 1600 кг;NT-W3000;8670.00;10
Кормушка-поилка лотковая 30 см пластик для цыплят, оранжевый;11670;269.00;15
Поилка чашечная диаметр 52 мм, пластик с креплением на сетку;12000;243.00;168
Поилка чашечная автоматическая 3,1 л, металл, с боковым подводом;60675;8880.00;24
Нижний нож Heiniger Freestyle Revolution для тонкорунных овец, 96 мм ;714-116-A;3080.00;2
Нижний нож Heiniger Kombat для кроссбредных пород овец, 97 мм ;714-108-A;3080.00;3
Нижний нож Heiniger Ninja для тонкорунных овец, 97 мм ;714-107-A;3080.00;4
Нижний нож Heiniger Charger для грубошерстных овец, 93,5 мм;714-033-A;3080.00;6
Нижний нож Heiniger Warrior для грубошерстных овец, 96 мм;714-059-A;3080.00;2
Нижний нож Heiniger Quasar для грубошерстных овец, 95 мм;714-038-A;3080.00;2
Нижний нож Heiniger Super Charged для полугрубошерстных овец, 93,5 мм;714-034-A;3080.00;2
Нижний нож Heiniger Quantum для полутонкорунных овец, 95 мм;714-050-A;3080.00;2
Нижний нож Heiniger Condor для грубошерстных овец, 98 мм;714-088-A;3030.00;10
Нижний нож Heiniger Awesome для тонкорунных овец, 92 мм;714-051-A;3080.00;2
Нижний нож Heiniger Wicked для тонкорунных овец, 93,5 мм;714-042-A;3080.00;2
Нижний нож Heiniger Bad для тонкорунных овец, 95 мм;714-097-A;3080.00;1
Нижний нож Heiniger Freestyle для тонкорунных овец, 96 мм;714-057-A;3080.00;5
Нижний нож Heiniger B-Evil для тонкорунных овец, 94,5 мм;714-130-A;3080.00;2
Нижний нож Heiniger Rebel для тонкорунных овец, 92 мм;714-086-A;3080.00;2
Нижний нож Heiniger Xpress для тонкорунных овец, 93,5 мм;714-061-A;3080.00;2
Нижний нож Heiniger Freak для тонкорунных овец, 94,5 мм;714-085-A;3080.00;2
Нижний нож Heiniger Huge для тонкорунных овец, 96 мм;714-075-A;3080.00;5
Нижний нож Heiniger Rapier универсальный для овец, 86 мм;714-040-A;3080.00;1
Нижний нож Heiniger Reflex для полутонкорунных овец, 94 мм;714-077-A;3080.00;2
Нижний нож Heiniger Proflex универсальный для овец, 94 мм;714-096-A;3080.00;2
Нижний нож Heiniger Ovina Premium универсальный для овец, 77 мм;714-117-A;2700.00;5
Нижний нож Heiniger Isobar универсальный для зимней шерсти овец, 97,5 мм;714-065-A;4310.00;2
Верхний нож Heiniger Edge универсальный для овец, 4,4 мм;714-151-A;729.00;28
Вeрхний нож Heiniger Xtreme для овец, 3,7 мм;714-152-A;719.00;5
Ножевая пара Heiniger для стрижки лошадей 31/15;703-530;3530.00;5
Сито для зернодробилки Novital диаметр  2,5 мм;00003466P;1390.00;2
Сито для зернодробилки Novital диаметр  4 мм;00003467P;1400.00;1
Сито для зернодробилки Novital диаметр  6 мм;00003468P;1340.00;4
Сито для зернодробилки Novital диаметр  8 мм;00003469P;1340.00;4
Поилка ниппельная с бачком DERBY 1 л 45° для кроликов и птиц;2020AF000;745.00;83
Муфта жесткая с уплотнительными кольцами на круглую трубу  диаметр 26,6 мм;4733T;143.00;30
Инкубатор HHD 32A;EW-32A;5870.00;53
Инкубатор HHD 32 с овоскопом;EW-32S;6630.00;145
Инкубатор HHD 7, мини;EW9-7;2260.00;514
Инкубатор HHD 56A;EW-56A;6520.00;290
Инкубатор HHD 56 с овоскопом;EW-56S;7940.00;384
Инкубатор HHD 24;YZ-24A;5960.00;257
Электросушилка бытовая для овощей, грибов, ягод, фруктов, 5 лотков;ЭСБ-5;3770.00;6
Сменное лезвие Heiniger для собак 9/2.0 мм;707-933-A;4840.00;4
Сменное лезвие Heiniger для собак 7/3.2 мм;707-943-A;4840.00;3
Сменное лезвие Heiniger для собак 5F/6.3 мм;707-960-A;5940.00;3
Сменное лезвие Heiniger для кошек и собак 5/8/0.8 мм;707-920-A;5040.00;5
Брудер-павильон Rcom Bird brooder для птиц S;MX-BS500;52400.00;15
Конус для убоя птицы M оцинкованная сталь;NT-CM;1410.00;76
Когтерез секатор с пилкой Bobo зеленый;BO-5316-1;421.00;13
Наполнитель комкующийся, растительный Super Cat Litter, Lavender 7 л;QHB01;905.00;347
Наполнитель комкующийся, растительный Super Cat Litter, Activated Carbon 7 л;QHB02;905.00;341
Наполнитель комкующийся, растительный Mixed Cat Litter, Green Tea(Tofu) and Activated Carbon 7 л;QHB05;646.00;338
Нижний нож Heiniger Shattle для КРС;714-090-A;3350.00;5
Дешеддер для средней и короткой шерсти, размер М;HC025-L70;2370.00;83
Дешеддер для длинной шерсти, размер М;HC030-C70;2440.00;79
Туалет с ободком Sanitaire Range 46х38х13 см, коричневый;HC006B-465;634.00;106
Туалет Sanitaire Range 51х39х24 см, коричневый;HC021-500;1090.00;137
Туалет-домик Solitude Range 48х38х43 см, коричневый;HC009-475;1220.00;16
Поилка вакуумная 1,5 л на ножках, с ручкой;D1500LG;323.00;37
Поилка вакуумная 3 л на ножках, с ручкой;D3000LG;462.00;34
Шланг диаметр  5х7 мм, черный, 1 м;ADB-E;65.00;1172
Кормушка для сена 615x388x260 мм;10085-1;7740.00;10
Лебедка ручная настенная с тросом 1130 кг;NT-W2500C;3470.00;15
Лебедка ручная настенная с лентой 1130 кг;NT-W2500B;3580.00;16
Совок для корма, пластик, белый;YL3256W;302.00;39
Поилка-шарик для кроликов, зеленый;XM1068G;534.00;29
Поилка-шарик для кроликов, желтый;XM1068Y;534.00;17
Поилка-шарик для кроликов, синий;XM1068B;534.00;1
Миска двойная, 25.5x13.5x4.5 см, 330+330 мл, розовый;BO-3029A-5;250.00;106
Миска двойная, 30x17.5x5.8 см, 440+440 мл, мята;BO-3031A-7;313.00;17
Миска двойная, 30x17.5x5.8 см, 440+440 мл, темно-синий;BO-3031A-8;313.00;109
Миска двойная, 30x17.5x5.8 см, 440+440 мл, серый;BO-3031A-10;313.00;82
Миска двойная, 25х14х4.5 см, 180+180 мл, зеленый;BO-3039-5;313.00;55
Миска двойная, 25х14х4.5 см, 180+180 мл, кактус;BO-3039-6;313.00;70
Миска двойная, 25х14х4.5 см, 180+180 мл, синий;BO-3039-7;313.00;75
Миска двойная, 23.5x14x5 см, 150+150 мл, серый;BO-3043A-5;186.00;31
Миска, 18.5x18.5x7.5 см, 630 мл, пудель;BO-3062-5;406.00;3
Миска, 18.5x18.5x7.5 см, 630 мл, хаски;BO-3062-6;406.00;5
Миска для собак и кошек, 15х15х4,8 см, 250 мл, фиолетовый;BO-3067Z-4;220.00;5
Миска, 14x19x5.5 см, 420 мл, абстракция;BO-3135H(A5)-5;965.00;10
Миска, 14x19x5.5 см, 420 мл, собака;BO-3135H(A5)-6;965.00;7
Миска двойная, 26x14.5x3.5 см, 200+250 мл, розовый;BO-3140Z-7;809.00;31
Миска двойная, 26x14.5x3.5 см, 200+250 мл, голубой;BO-3140Z-8;809.00;31
Миска двойная, 26x14.5x3.5 см, 200+250 мл, кошка;BO-3140Z-9;809.00;28
Миска двойная, 26x14.5x3.5 см, 200+250 мл, мартышка;BO-3140Z-10;809.00;31
Миска двойная, 26x14.5x3.5 см, 200+250 мл, тюлень;BO-3140Z-11;809.00;31
Миска двойная, 26x14.5x3.5 см, 200+250 мл, мальчик;BO-3140Z-12;809.00;31
Когтерез секатор с пилкой Bobo розовый;BO-5316-2;421.00;1
Миска для собак и кошек, 18x17.5x5 см, 270 мл, бежевый;BO-3146A5-1;746.00;30
Миска для собак и кошек, 18x17.5x5 см, 270 мл, зеленый;BO-3146A5-2;746.00;33
Миска для собак и кошек, 18x17.5x5 см, 270 мл, красный;BO-3146A5-3;746.00;31
Миска для собак и кошек, 18x17.5x5 см, 270 мл, желтый;BO-3146A5-4;746.00;27
Миска для собак и кошек, 18x17.5x5 см, 270 мл, розовый;BO-3146A5-5;746.00;31
Миска для собак и кошек, 18x17.5x5 см, 270 мл, оранжевый;BO-3146A5-6;746.00;32
Миска для собак и кошек, 18.5x12x4.5 см, 400 мл, домик, белый;BO-3147G-1;1150.00;48
Миска для собак и кошек, 18.5x12x4.5 см, 400 мл, домик, черный;BO-3147G-3;1150.00;48
Миска для собак и кошек, 18.5x12x4.5 см, 400 мл, собака, белый;BO-3147G-2;1150.00;46
Миска для собак и кошек, 18.5x12x4.5 см, 400 мл, собака, черный;BO-3147G-4;1150.00;47
Электросушилка для овощей «Мастерица» 8 поддонов, с функцией йогуртницы;СШ-0205К;3540.00;4
Нож закаленный для зерна к ДКУ-05, ИЗЭ-14М, ИЗЭ-25М;ЗЧ-01;182.00;12
Нож универсальный для травы и корнеплодов к ДКУ-05;ЗЧ-02;588.00;9
Сито боковое для ДКУ-05, ИЗЭ-14М, ИЗЭ-25М, диаметр 5 мм;ЗЧ-03;209.00;10
Заглушка для щеток VS84/HC;701-634;43.00;5
Плата X-SERIES2 240V ;708-082;5030.00;16
Персидская кошка. Содержание и уход (Кизельбах Д.);978-5-9934-0227-7;212.00;2
Русская голубая кошка. Содержание и уход ( Островская М.К.);978-5-4238-0154-0;212.00;1
Сиамская кошка. Содержание и уход (Кизельбах Д.);978-5-9934-0229-1;212.00;1
Сибирская кошка. Содержание и уход (Федорова О.);978-5-9934-0325-0;212.00;2
Шестерня Z35 для машинки DELTA/PROGRESS ;707-084;573.00;9
Нижний нож Heiniger Ovina универсальный для овец, 77 мм;714-020;2480.00;13
Блок питания Евро для Brinsea Mini, Eco-Glow 20;25_992;2550.00;38
Диск на 12 яиц Mini Advance;A0008;2420.00;1
Вентилятор Mini Advance;18_34;1060.00;4
Контроль температуры электронный Octagon 20 Advance EX;21_86;10100.00;3
Сетевой кабель питания Brinsea;15_13;1600.00;3
Мотор/редуктор поворотного устройства 230v (1/4 shaft) Octagon 20/40;18_25;5030.00;1
Мотор поворотного устройства 230v UK Octagon 10/20/40 ;A0202;11400.00;11
Термометр для инкубатора, прямой;itr1;1060.00;56
Термометр в защитном кожухе;tt55;707.00;49
Поилка под бутылку напольная с отверстиями, 10 ячеек, пластик;137/A;265.00;55
Поилка вакуумная 1,5 л;137;244.00;64
Поилка вакуумная 3 л ;138;325.00;438
Поилка вакуумная 5 л;139;410.00;48
Поилка вакуумная 5 л с ручкой ;139/MN;930.00;18
Поилка вакуумная 10 л с ручкой;140/MN;1080.00;88
Поилка сифонная 24 л металлические ножки;141/A;3920.00;16
Поилка-кормушка навесная 30 см оцинкованная сталь;142;544.00;216
Поилка-кормушка навесная 100 см оцинкованная сталь;142/D;711.00;144
Поилка вакуумная 5 л с окошками для голубей;140/E;1260.00;26
Кормушка бункерная для кроликов 1 секция металл 145 мм без крышки;132;795.00;46
Поилка под бутылку оцинкованная сталь;145/N;240.00;1955
Поилка ниппельная с бачком 0,5 л 90°;145/F;621.00;38
Поилка ниппельная с бачком 1 л 90° River;145/G;772.00;142
Кормушка лотковая 75 см оцинкованная cталь для кур;122/A;1120.00;41
Кормушка лотковая 100 см оцинкованная сталь для кур R;123;1300.00;55
Кормушка лотковая 50 см пластик для цыплят River;120/A/R;482.00;37
Кормушка лотковая 50 см пластик для кур River;121/A/R;666.00;18
Кормушка бункерная для кроликов 1 секция металл без крышки;131;1400.00;46
Кормушка бункерная для кроликов 1 секция металл с пластиковой крышкой;131/B;1470.00;23
Кормушка бункерная для кроликов 2 секции металл с пластиковой крышкой;131/C;1860.00;15
Кормушка бункерная для кроликов 1 секция металл 145 мм с металлической крышкой;132/A;903.00;190
Кормушка бункерная для кроликов 2 секции металл 190 мм с металлической крышкой;133/A;1140.00;92
Кормушка бункерная для кроликов 2 секции металл 235 мм с металлической крышкой;134/A;1090.00;29
Конус для убоя птицы h28 см пластик;213/A;3080.00;8
Петля для соединения решеток-ограждения;4512-09;66.00;220
Заглушка, диаметр 25 мм пластиковая, на клей;4341-04;66.00;47
Заглушка, диаметр 25 мм пластиковая, с сапуном, на клей;4342-04;193.00;6
Соединение угловое диаметр  25 мм, на клей;4343-04;150.00;23
Муфта жесткая на круглую трубу  диаметр 25 мм;4345-04R;66.00;16
Ножницы для квадратных и круглых труб;4411;7210.00;2
Ключ для ниппеля;R4401-05;974.00;6
Наклювник для птиц на 45-90 дней, уп. 100 шт.;048/00;1560.00;3
Крепление для наклювника, уп. 100 шт.;048/02;855.00;2
Возвратная пружина для крышки клетки;530/00;210.00;99
Крюк пружинный для клетки, 88 мм;531/00;65.00;136
Крюк пружинный для клетки, 60 мм;532/00;58.00;196
Крюк пружинный для клетки, 115 мм;532/02;73.00;132
Зажим для держателя учетных карт;549/05;52.00;117
Нижний нож Aesculap GT502 для лошадей и КРС с 31 зубьями 3 мм;GT502;2310.00;7
Верхний нож Aesculapс GT505 для лошадей и КРС 23 зубьями;GT505;1730.00;8
Нижний нож Heiniger Crusader для зимней шерсти полутонкорунных овец, 94,5 мм;714-069-A;4310.00;5
Нижний нож Heiniger Prolegend для тонкорунных овец, 92 мм;714-031;3080.00;2
Верхний нож Heiniger Storm для зимней шерсти овец, 4,6 мм;714-150-A;729.00;13
Контроль температуры электронный Octagon 40 Advance;21_993;10100.00;2
Вентилятор TLC-40/50;18_35;2820.00;2
Опора для универсального поддона Ova-Easy;17_93;56.00;276
Передний шарикоподшипник для  машинки Heiniger;721-115;2090.00;10
Крышка для бункерной кормушки, диаметр  27 см, пластик;0472A0000;220.00;118
Полотнo наждачнoе;718-251;1420.00;9
100 кошачьих Почему (Непомнящий Н.Н.);978-5-4238-0188-5;273.00;4
Аквариумные рыбки. Содержание. Кормление. Разведение. Профилактика заболеваний. (н/о) Михайлов С.А.;BK-063;649.00;5
Питание и корм аквариумных рыб. Виды кормов. Кормление мальков. Кормление взрослых рыб. (н/о) (Вершинина Т.А., ПлонскийВ.Д.);BK-081;515.00;1
Разведение аквариумных рыб. Советы и рецепты. (Кочетов С.М.);BK-084;631.00;7
Современное аквариумное оборудование. Обзор. Назначение. Способы применения (н/о) Плотский В.Д.  ;BK-090;456.00;2
Плата от зарядного устройства SAPHIR;707-827;3670.00;2
Ультразвуковой увлажнитель NEBULA для инкубаторов River;560;12900.00;1
Кормушка лотковая 30 см пластик для цыплят NL;KP30;366.00;94
Кормушка лотковая 50 см пластик для цыплят NL;KP50;509.00;92
Кормушка бункерная 1 кг с круглыми отверстиями /7 ячеек;F7G;482.00;11
Кормушка бункерная 1 кг пластик с разделительной решеткой зеленая;VH01PG;382.00;64
Кормушка бункерная 3 кг пластик с разделительной решеткой зеленая;VH03PG;805.00;155
Кормушка бункерная 6 кг пластик с разделительной решеткой зеленая;VH06PG;1520.00;43
Кормушка бункерная 10 кг пластик с разделительной решеткой зеленая;VH10PG;2190.00;53
Поилка под бутылку напольная с отверстиями /7 ячеек пластик;D7GG;233.00;149
Поилка чашечная для мелкой птицы, пластик, с креплением на сетку;DHSZ-DCSR;349.00;113
Ниппель поения (360 градусов) для цыплят пластик резьба 1/8;MK11;293.00;1
Поилка поплавковая 18 л NL;DA-18G;2380.00;7
Ножки для поилки с арт. DA-18G 3 шт.;DA-18GPN;539.00;17
Поилка чашечная для крупной птицы, пластик, с креплением на сетку;ADB;283.00;42
Tройник 10х7х10 мм для поилки;T10710;113.00;11
Шланг диаметр  6х8 мм, черный, 1 м;ADB-S;76.00;17
Кормушка-поилка навесная 0,6 л пластик;DB600;226.00;176
Ножевая пара Heiniger для стрижки лошадей и КРС 31/23;703-550;3480.00;10
Ножевая пара Heiniger для стрижки лошадей и КРС 21/23;703-520;3480.00;7
Ножевая пара Heiniger Edge/Ovina для стрижки овец и коз ;714-000;2930.00;239
Поилка вакуумная 3 л ;D3000BG;416.00;55
Поилка вакуумная 6 л ;D6000BG;735.00;13
Поилка вакуумная 12 л ;D12000BG;1630.00;42
Инкубатор Brinsea Ova-Easy Advance EX ser II 100 с помпой;MJ1033;90400.00;15
Инкубатор ET 49 автоматический ;549/A;20500.00;137
Инкубатор ET 12 автоматический ;512/A;13700.00;6
Инкубатор ET 24 автоматический;524/A;16500.00;50
Машинка Heiniger Progress Style для стрижки лошадей;707-516-33;25600.00;2
Автоматический открыватель двери Chicksafe Eco;CS010;8470.00;44
Автоматический открыватель двери Chicksafe Advance;CS020;15100.00;45
Автоматический открыватель двери Chicksafe Eco, дверь в комплекте;CS015;11600.00;33
Автоматический открыватель двери Chicksafe Advance, дверь в комплекте;CS025;17500.00;26
Машинка Heiniger Delta 3 для стрижки лошадей и КРС;707-000-30;30200.00;6
Машинка Heiniger Progress для стрижки лошадей;707-500-33;23000.00;5
Машинка Heiniger Xtra для стрижки овец и коз;712-600-00;36200.00;12
Машинка Heiniger S12 от аккумулятора 12В для стрижки овец и коз ;712-100-00;33100.00;5
Сменное лезвие Heiniger для кошек 50/0.2 мм;707-905-A;4540.00;13
Сменное лезвие Heiniger для кошек и собак 30/0.5 мм;707-917-A;4540.00;1
Сменное лезвие Heiniger для кошек 15/1.2 мм;707-926-A;4470.00;1
Лампа инфракрасная 150 Вт Eider;1403-000;578.00;517
Поилка ниппельная для молодняка и откормочных свиней (диаметр 3/4) 1/2 с шестигранником;XM5456;322.00;194
Поилка ниппельная для молодняка и откормочных свиней 1/2 наружная;XM1649;146.00;10
Поилка ниппельная для молодняка и откормочных свиней 1/2 наружная;XM4268;146.00;127
Поилка ниппельная с чашей, размер S, для молодняка и откормочных свиней 1/2 внутренняя/верхняя подводка;XM306;1490.00;70
Поилка ниппельная с чашей, размер M, для молодняка и откормочных свиней 1/2 внутренняя/верхняя подводка;XM311;1850.00;53
Поилка ниппельная с чашей, размер L, для молодняка и откормочных свиней 1/2  внутренняя/верхняя подводка;XM1566;2140.00;12
Поилка ниппельная для молодняка и откормочных свиней (диаметр 3/8) 1/2 наружная;XM4270;143.00;252
Чистящее дезинфицирующее средство Milord Mela Verde с ароматом зеленого яблока 1 л;M2653;759.00;2
Помпа течения для аквариума Newa Wave 3200;00_81_023;3700.00;12
Помпа течения для аквариума Newa Wave 7500;00_81_063;5740.00;7
Система управления Newa Control для помп течения Newa Wave;00_28_010;5550.00;16
Фильтр для аквариума Newa Mirror UVC 7W;00_84_001;7450.00;2
Фильтр для аквариума Newa Mirror UVC 11W;00_84_003;9830.00;3
Фильтр для аквариума Newa Mirror Hang On UVC filter 7W;00_84_021;9690.00;2
Фильтр для аквариума Newa Mirror Hang On UVC filter 9W;00_84_022;10700.00;4
Фильтр для аквариума Newa Mirror Hang On UVC filter 11W;00_84_023;12100.00;4
Фильтр для аквариума Newa Mirror Hang On UVC filter 18W;00_84_024;13400.00;2
Лампа для аквариума Newa LED Light NLD 953 Daylight 26W;00_92_005;13500.00;15
Лампа для аквариума Newa LED Light NLD 1074 Daylight 30W;00_92_006;14900.00;1
Лампа для аквариума Newa LED Light NLP 953 Plant 30W;00_92_014;15300.00;3
Лампа для аквариума Newa LED Light NLP 1074 Plant 34W;00_92_015;17000.00;3
Лампа для аквариума Newa LED Light NLH 771 Hybrid 25W;00_92_023;13000.00;3
Лампа для аквариума Newa LED Light NLH 953 Hybrid 30W;00_92_024;14600.00;3
Лампа для аквариума Newa LED Light NLH 1074 Hybrid 34W;00_92_025;16100.00;3
Лампа для аквариума Newa LED Light NLA 360 Actinic 9W;00_92_030;8510.00;3
Лампа для аквариума Newa LED Light NLA 487 Actinic 13W;00_92_031;9920.00;3
Лампа для аквариума Newa LED Light NLA 664 Actinic 17W;00_92_032;11800.00;3
Лампа для аквариума Newa LED Light NLA 771 Actinic 22W;00_92_033;13400.00;3
Лампа для аквариума Newa LED Light NLA 953 Actinic 26W;00_92_034;15300.00;3
Лампа для аквариума Newa LED Light NLA 1074 Actinic 30W;00_92_035;17000.00;3
Блок питания для ламп Newa LED 20W;00_92_050;3620.00;10
Блок питания для ламп Newa LED 40W;00_92_051;5710.00;8
Блок питания для ламп Newa LED 62W;00_92_052;6910.00;8
Блок питания для ламп Newa LED 80W;00_92_053;9740.00;6
Блок питания для ламп Newa LED 130W;00_92_054;12400.00;6
Волокно для фильтра аквариума FIBER 100 гр;00_11_235;216.00;2
Волокно для фильтра аквариума FIBER 250 гр;00_11_236;447.00;3
Комплект Newa Control + 2 помпы течения Newa Wave 3200;00_28_011;7840.00;1
Система контроля для ламп NEWA LED Control;00_92_055;8220.00;10
Картридж Mechanichem для Mirabello MIR30 и фильтра Mira MF70/100               ;00_61_030;397.00;14
Фильтрующий элемент Biofoam губчатый;00_61_031;266.00;9
Картридж Mechanichem для Mirabello MIR30 и фильтра Mira MF70/100, угольный          ;00_61_039;266.00;6
Губка для фильтра DJ R Newa Duetto, биологический             ;00_48_078;210.00;5
Картридж Mechanichem II для Mirabello MIR60 и фильтра Mira MF100, угольный       ;00_61_032;397.00;40
Картридж Mechanichem II для Mirabello MIR60 и фильтра Mira MF100;00_61_040;266.00;39
Картридж Mechanichem II для Mirabello MIR60 и фильтра Mira MF100, биомеханический губчатый    ;00_61_042;266.00;1
Префильтр Newa Cobra 75, механический       ;00_79_020;119.00;88
Префильтр Newa Cobra 130/175, (DJC130), механический   ;00_79_110;196.00;85
Губка для фильтра Newa Cobra 75, биологическая  ;00_79_015;202.00;61
Губка для фильтра Newa Cobra Mini DJC50, биологическая   ;00_79_019;154.00;62
Губка для фильтра Newa Cobra 130 DJC130, биологическая;00_79_111;204.00;69
Картридж Aqua Diamante Large для фильтра 130/175, угольный;00_11_271;576.00;2
Адаптер T5/T8 для светодиодных ламп Newa LED;00_192_001;876.00;4
Кронштейн для ламп Newa LED;00_192_002;974.00;6
Разветвитель для подключения ламп Newa LED;00_192_003;1700.00;15
Фильтр для автопоилки фонтана W1, сменный;FPW1;683.00;7
Картридж для фильтра аквариума Newa More NMO 30R/50, биологический   ;00_185_003;250.00;17
Когтеточка-комплекс 35х35х105 см, бежевый;SBE991-B;5470.00;52
Когтеточка-комплекс 40х30х67 см, кремовый;SBE1113-C;3210.00;236
Когтеточка-домик 30х30х57 см, кремовый;SBE307-C;1900.00;197
Когтеточка-комплекс 36х36х88 см, бежевый;SBE892-B;5160.00;192
Когтеточка-комплекс 50х35х116 см, кремовый;SBE1418-C;6220.00;130
Когтеточка-комплекс 40х40х90 см, бежевый;PS270-B;8960.00;22
Когтеточка-комплекс 60х30х60 см, кремовый;PS654-C;3900.00;89
Перосъёмные пальцы PR133-45;DI133SH45;42.00;4020
Щетка дешеддер 2 в 1, 60 мм;GSU060-13;1190.00;458
Щетка дешеддер 2 в 1, 76 мм;GSU076-20;1360.00;463
Набор для груминга 5 в 1;0107-004;2390.00;477
Вращающийся гребень для домашних животных 3 в 1;0107-005;1760.00;490
Пуходерка M (94 мм);BSAK094;428.00;460
Пуходерка XL (125 мм);BSAK125;540.00;421
Пуходерка с самоочисткой 126 мм;BSAO126;941.00;449
Когтерез L;JD614;490.00;362
Когтерез ножницы;JD612;233.00;420
Дешеддер M с дугообразным лезвием, 76 мм;0101-098;1290.00;478
Дешеддер L с дугообразным лезвием, 100 мм;0101-097;1500.00;478
Дешеддер S с прямым лезвием, 76 мм;0101-096;1200.00;465
Дешеддер L с прямым лезвием, 100 мм;0101-095;1300.00;473
Когтерез для кошек и собак мелких пород;0104-001;394.00;430
Поводок-рулетка 4.2 м до 20 кг;EB05S;1460.00;485
Поводок-рулетка со светоотражающей лентой 5 м до 20 кг;UB05S;1890.00;478
Поводок-рулетка со светоотражающей лентой 5 м до 30 кг;UB05M;1980.00;457
Расческа стриппинг для собак и кошек, 77 мм;0101-090;941.00;173
Щетка расческа для собак и кошек;0101-083;447.00;433
Гидропонная установка HobbyFarm Mini с фитолампой;DQ1300;3800.00;2399
Гидропонная установка HobbyFarm Mini;DQ1200;1950.00;874
Гидропонная установка HobbyFarm 3 ячейки с фитолампой;DQ62003;12100.00;18
Гидропонная установка HobbyFarm 5 ячеек с фитолампой;DQ62005;12100.00;1
Гидропонная установка HobbyFarm 8 ячеек с фитолампой;DQ62008;12100.00;91
Гидропонная установка HobbyFarm 3 ячейки;DQ61003;4540.00;63
Гидропонная установка HobbyFarm 5 ячеек;DQ61005;4540.00;56
Гидропонная установка HobbyFarm 8 ячеек;DQ61008;4540.00;96
Гидропонная установка HobbyFarm для суккулентов и мхов;DQ3100;2780.00;467
Лампа инфракрасная керамическая HQ 150 Вт черная;150-90105;720.00;374
Наполнитель силикагелевый 7.6 л, с ароматом зелёного яблока;0008G;766.00;255
Наполнитель силикагелевый 7.6 л, с ароматом лаванды;0010PU;766.00;188
Лампа инфракрасная 175 Вт InterHeat, Е27 R125, закаленное стекло, красная;175R125/R/2;860.00;481
Нижний нож Heiniger Camelid для стрижки верблюдов, лам, альпак;714-025-A;4990.00;3
Вeрхний нож Heiniger Ceramic-cutter для лам и альпак керамический;714-161;2840.00;2
Зажим подвеса круглой трубы;4742QT;64.00;287
Нижний нож Heiniger Mohair для стрижки мохеровых коз, 94 мм;714-080-A;3510.00;2
Нижний нож Heiniger Slick универсальный для овец, 84,5 мм;714-115-A;3510.00;3
Нижний нож Heiniger MACH 9 для грубошерстных овец, 94 мм;714-071-A;3080.00;2
Ножевая пара Heiniger для стрижки лошадей и КРС 18/23;703-690;3530.00;10
Ножевая пара Heiniger для стрижки КРС 18/15;703-700;3530.00;4
Ножевая пара Heiniger для стрижки лошадей 31F/23;703-580;4280.00;2
Ножевая пара Heiniger для стрижки лошадей и КРС 35/17;703-600;3530.00;3
Нижний нож Heiniger Alpaca LG2 для стрижки альпак, 94 мм;714-109-A;3080.00;2
Сменное лезвие Heiniger 7F/3,2 мм для собак;707-945-A;4840.00;4
Лезвие для мини триммера Heiniger Style Mini;707-265;3690.00;1
Нижний нож Heiniger Bad для грубошерстных овец, 95 мм;714-111-A;3080.00;4
Сменное лезвие Heiniger для лошадей 10WF/1.5 мм;707-970-A;6580.00;1
Сменное лезвие Heiniger для лошадей 15W/1.0 мм;707-972-A;6580.00;4
Лежак подушка 100х73х15 см, со съемным чехлом, бежевый;9387-2005B;2280.00;43
Лежак подушка 88х65х15 см, со съемным чехлом, бежевый;9387-2005C;1900.00;87
Лежак подушка 77х57х15 см, со съемным чехлом, бежевый;9387-2005D;1540.00;98
Лежак подушка 65х50х15 см, со съемным чехлом, бежевый;9387-2005E;1260.00;70
Лежак круглый с бортом 65х65х18 см, меховой, кремовый;9371-2001A;2160.00;81
Лежак круглый с бортом 60х60х17 см, меховой, кремовый;9371-2001B;1900.00;142
Лежак круглый с бортом 55х55х16 см, меховой, кремовый;9371-2001C;1640.00;74
Лежак круглый с бортом 50х50х15 см, меховой, кремовый;9371-2001D;1450.00;74
Лежак с бортом 73х59х18 см, съемная меховая подушка, бежевый;9314-2014B;2280.00;23
Лежак с бортом 62х50х17 см, съемная меховая подушка, бежевый;9314-2014C;1800.00;102
Лежак с бортом 52х41х16 см, съемная меховая подушка, бежевый;9314-2014D;1450.00;10
Лежак с бортом 75х65х24 см, меховой, съемная подушка, бежевый;9360-2004A;2930.00;28
Лежак с бортом 68х59х22 см, меховой, съемная подушка, бежевый;9360-2004B;2540.00;50
